,Name,Coordinates,Longitude,Latitude
133,IGHIL,"-8.25496601,30.94903779,0",-8.25496601,30.94903779
134,AGADIR,"-8.423931441,31.11772917,0",-8.423931441,31.11772917
135,TALAT NYAKOUB,"-8.18609615,30.98264123,0",-8.18609615,30.98264123
136,AGARD NOU WARTANE,"-7.769123661,31.1898963,0",-7.769123661,31.1898963
137,TIZI OUSSAME,"-7.9738955,31.11902021,0",-7.9738955,31.11902021
138,TAHLIWINE,"-7.981495079,31.13976822,0",-7.981495079,31.13976822
139,AGADIR NIMARGHSEN,"-8.34119211,30.99428923,0",-8.34119211,30.99428923
140,AGOURGUINE,"-8.210481794,30.95938619,0",-8.210481794,30.95938619
141,BIOUGRA,"-8.85454592,31.04562362,0",-8.85454592,31.04562362
142,AIT OUAKRIM,"-8.846545392,31.0543903,0",-8.846545392,31.0543903
143,EL KATTAJARTE,"-8.858167918,31.07063878,0",-8.858167918,31.07063878
144,TAMAZGOURTE,"-8.685685303,31.04383076,0",-8.685685303,31.04383076
145,AIT BOUJMAA,"-8.222531324,30.94950981,0",-8.222531324,30.94950981
146,AIT MARGANE,"-7.664406404,31.27732256,0",-7.664406404,31.27732256
147,TIZI YANE,"-7.986185147,31.13787727,0",-7.986185147,31.13787727
148,DAR EL AASKAR,"-8.131289948,30.97208424,0",-8.131289948,30.97208424
149,AIT ALI OUBDIR,"-7.572436703,31.37038386,0",-7.572436703,31.37038386
150,AIT WAYIRRI,"-7.586704325,31.36921719,0",-7.586704325,31.36921719
151,IGHRISSE,"-7.134396853,31.29971148,0",-7.134396853,31.29971148
152,AT AGRALIOUNE,"-6.558645635,31.23697078,0",-6.558645635,31.23697078
153,TIZI OUSSOUL,"-8.271719531,31.08633853,0",-8.271719531,31.08633853
154,INFAGUE,"-8.258189743,31.14683124,0",-8.258189743,31.14683124
155,AYNAGHDE,"-8.264684467,31.13651009,0",-8.264684467,31.13651009
156,TIMICHI,"-7.768290383,31.19409736,0",-7.768290383,31.19409736
157,IMIN TADERTE,"-7.666196613,31.25052962,0",-7.666196613,31.25052962
158,TIL IWA,"-8.498261502,31.15189144,0",-8.498261502,31.15189144
159,AMASGUINE,"-8.093673278,31.13138194,0",-8.093673278,31.13138194
160,AGADIR NAIT SLIMANE,"-7.790425723,31.37275221,0",-7.790425723,31.37275221
161,AGHALLA,"-8.379023522,31.00149934,0",-8.379023522,31.00149934
162,WIZAMMARNE,"-8.424340636,30.89790753,0",-8.424340636,30.89790753
163,DOU ANAMAR,"-8.25663632,31.14251934,0",-8.25663632,31.14251934
164,ADOUZE,"-8.265609154,31.12606139,0",-8.265609154,31.12606139
165,TINZARTE,"-8.008483393,31.19039234,0",-8.008483393,31.19039234
166,IMITAZAKHTE,"-6.679107629,31.28762664,0",-6.679107629,31.28762664
167,ANZELFI,"-8.54142639,31.0428742,0",-8.54142639,31.0428742
168,IMIRGHENE,"-7.274854704,31.24935118,0",-7.274854704,31.24935118
169,IMAGDAL,"-8.119632896,31.12302789,0",-8.119632896,31.12302789
170,TAWITE,"-8.075970003,31.09290085,0",-8.075970003,31.09290085
171,AMLOUGUI,"-7.649426842,31.23570758,0",-7.649426842,31.23570758
172,TASAMOUTE,"-8.109871191,31.02576739,0",-8.109871191,31.02576739
173,AMSSED,"-8.311672788,30.93709876,0",-8.311672788,30.93709876
174,ANFGAYNE,"-7.694702248,31.231803,0",-7.694702248,31.231803
175,TAGADIRTE,"-8.701881729,31.10208624,0",-8.701881729,31.10208624
176,ZINIT LALLA AAZIZA,"-8.700591256,31.0812321,0",-8.700591256,31.0812321
177,TAMTDJIT,"-8.655328517,31.05886225,0",-8.655328517,31.05886225
178,AIT IHLA,"-8.361156722,31.11029123,0",-8.361156722,31.11029123
179,TLATE,"-8.35817683,31.10664588,0",-8.35817683,31.10664588
180,WINIMADSEN,"-7.48798433,31.30994744,0",-7.48798433,31.30994744
181,ASSOULE,"-8.285985146,30.92565576,0",-8.285985146,30.92565576
182,WASSANTOTE,"-8.18424076,31.09273558,0",-8.18424076,31.09273558
183,AIT AYOUBE,"-8.022010242,30.99507123,0",-8.022010242,30.99507123
184,TAGNITE,"-8.675968143,31.04095368,0",-8.675968143,31.04095368
185,TADDARTE,"-7.979404181,31.14226911,0",-7.979404181,31.14226911
186,,"-8.167152366,30.99464682,0",-8.167152366,30.99464682
187,ADRAG,"-8.253195535,30.97733592,0",-8.253195535,30.97733592
188,ANABDOUR,"-8.244241981,30.97126033,0",-8.244241981,30.97126033
189,MZOUZITE,"-8.243059132,30.96860948,0",-8.243059132,30.96860948
190,AIT BARRIHI,"-8.195323317,30.99222315,0",-8.195323317,30.99222315
191,ALANOU MAZGHNI,"-8.123760765,31.02343567,0",-8.123760765,31.02343567
192,IGRAMNE-IMI NOUAKA,"-6.121369893,31.45712817,0",-6.121369893,31.45712817
193,IGRI FOUDENE,"-7.718579809,31.29225575,0",-7.718579809,31.29225575
194,AKRDA,"-8.040496688,30.99251415,0",-8.040496688,30.99251415
195,AIT MOUSSA,"-8.046781385,30.98907614,0",-8.046781385,30.98907614
196,TIGHARGHISTE,"-8.061533719,30.99127805,0",-8.061533719,30.99127805
197,ASSAKA,"-7.673208952,31.36643128,0",-7.673208952,31.36643128
198,TIZANGHIRINE,"-9.003674741,30.99520662,0",-9.003674741,30.99520662
199,ANARNI,"-8.316482209,31.11751002,0",-8.316482209,31.11751002
200,AZGOUR,"-8.312961466,31.13806145,0",-8.312961466,31.13806145
201,TAGOUDJA,"-7.510471158,31.37311654,0",-7.510471158,31.37311654
202,AIT TAGGOUME,"-7.523740779,31.36439845,0",-7.523740779,31.36439845
203,ADOUZ,"-8.435303451,30.91718644,0",-8.435303451,30.91718644
204,ASSOUL,"-8.350141876,30.90541249,0",-8.350141876,30.90541249
205,TADRART,"-7.734595102,31.207539,0",-7.734595102,31.207539
206,AGARD,"-7.648576947,31.27464029,0",-7.648576947,31.27464029
207,ASSAKA CHORFA,"-9.002771254,30.89973399,0",-9.002771254,30.89973399
208,ISLI,"-9.017260332,30.94970088,0",-9.017260332,30.94970088
209,TINDRI,"-8.60659665,31.00737725,0",-8.60659665,31.00737725
210,IGARNTIQURI,"-8.556631674,31.03931448,0",-8.556631674,31.03931448
211,IGRI NAIT HAMOU,"-7.714289853,31.28922589,0",-7.714289853,31.28922589
212,IMI NOUAGUE,"-6.507219911,31.31164693,0",-6.507219911,31.31164693
213,IMAOUNINE,"-7.241029231,31.28750314,0",-7.241029231,31.28750314
214,IHANDAGHENE,"-7.268670136,31.27913073,0",-7.268670136,31.27913073
215,TARGA,"-8.062095344,31.08941826,0",-8.062095344,31.08941826
216,TIGMATINE,"-8.871173133,31.09140265,0",-8.871173133,31.09140265
217,TAJOUGJITE,"-7.142724853,31.22045065,0",-7.142724853,31.22045065
218,IDAISSA,"-7.976416621,31.13454988,0",-7.976416621,31.13454988
219,IMIN IGHZARN AISSA,"-8.578943436,31.01448801,0",-8.578943436,31.01448801
220,TIMCHOUJTE,"-7.244350955,31.31050637,0",-7.244350955,31.31050637
221,TISSAYNE,"-8.934728699,31.06655367,0",-8.934728699,31.06655367
222,TAFRAOUTE,"-7.353618262,31.33674876,0",-7.353618262,31.33674876
223,AIT AOUASSI,"-7.349719343,31.33044408,0",-7.349719343,31.33044408
224,AGHBARANE,"-8.221073745,30.93873929,0",-8.221073745,30.93873929
225,AIT HSSAYNE,"-8.204087436,31.1389183,0",-8.204087436,31.1389183
226,TAGADIRTE NSIDI BEL QAS,"-7.767797703,31.25054841,0",-7.767797703,31.25054841
227,TISSILI NIGUADJI,"-7.693606161,31.40108034,0",-7.693606161,31.40108034
228,IZRAFEN,"-7.48918297,31.37080542,0",-7.48918297,31.37080542
229,ALLA NOUMARZI,"-8.157178044,30.97631353,0",-8.157178044,30.97631353
230,ASSAKA,"-7.134585047,31.21211585,0",-7.134585047,31.21211585
231,ANMITER,"-7.139775998,31.29199649,0",-7.139775998,31.29199649
232,TIMICHA,"-6.561634821,31.28603622,0",-6.561634821,31.28603622
233,EL HRTE,"-6.575098237,31.26301918,0",-6.575098237,31.26301918
234,ABGALZI,"-7.145792711,31.28018313,0",-7.145792711,31.28018313
235,IRGHEF,"-7.707368088,31.28349504,0",-7.707368088,31.28349504
236,AGNI,"-8.205291681,30.95571866,0",-8.205291681,30.95571866
237,TOUZZONTANE,"-8.212883175,30.95485707,0",-8.212883175,30.95485707
238,TIZI OU CHEG,"-7.676960537,31.28703604,0",-7.676960537,31.28703604
239,TOUROURTE,"-8.056901283,31.16782859,0",-8.056901283,31.16782859
240,AGUERZGA,"-6.119495917,31.49592185,0",-6.119495917,31.49592185
241,AOUSSIR,"-8.881594834,31.07956008,0",-8.881594834,31.07956008
242,ANSSA,"-8.492597726,30.98931298,0",-8.492597726,30.98931298
243,AWRIR,"-7.622404978,31.35916276,0",-7.622404978,31.35916276
244,WIGRANE,"-7.660595608,31.25863387,0",-7.660595608,31.25863387
245,ANRAZE,"-8.065444555,31.17173905,0",-8.065444555,31.17173905
246,AMESLOH,"-8.476795995,30.99161301,0",-8.476795995,30.99161301
247,TADDARATE,"-8.47021036,31.00998295,0",-8.47021036,31.00998295
248,TIGNARINE,"-8.480516854,31.10976709,0",-8.480516854,31.10976709
249,TIDRITE,"-5.842127606,31.64396077,0",-5.842127606,31.64396077
250,TARBAT,"-6.462074345,31.36227777,0",-6.462074345,31.36227777
251,TILFITINE,"-8.277117657,31.11776133,0",-8.277117657,31.11776133
252,TALAT NWARGUE,"-8.263895065,31.10196698,0",-8.263895065,31.10196698
253,TAGADIRTE EL BOOR,"-8.102563032,31.1560508,0",-8.102563032,31.1560508
254,TIZGUI,"-8.482122674,31.08812898,0",-8.482122674,31.08812898
255,IFAZDADNE,"-8.305709411,30.90635243,0",-8.305709411,30.90635243
256,AZAGHAR NADWAQ,"-8.065171121,31.12666314,0",-8.065171121,31.12666314
257,ILKRI,"-7.680245366,31.2246257,0",-7.680245366,31.2246257
258,IMASKARE,"-8.887233104,31.04004434,0",-8.887233104,31.04004434
259,BOUYZGARNE,"-7.71194699,31.24320063,0",-7.71194699,31.24320063
260,AGHELLA,"-8.863216279,31.08876411,0",-8.863216279,31.08876411
261,TALATANE,"-7.780461806,31.24592653,0",-7.780461806,31.24592653
262,IGRI LAKHMASS,"-7.775336615,31.27872173,0",-7.775336615,31.27872173
263,IZAHANE,"-7.657292989,31.27715731,0",-7.657292989,31.27715731
264,TIZGUI,"-8.177063418,31.18367261,0",-8.177063418,31.18367261
265,IGG,"-8.424342966,30.91197724,0",-8.424342966,30.91197724
266,IDGHAGHE,"-7.526584836,30.7003679,0",-7.526584836,30.7003679
267,KSAR AIT OUNIR,"-5.811146752,31.70253532,0",-5.811146752,31.70253532
268,AMASSINE,"-6.509539818,31.41636243,0",-6.509539818,31.41636243
269,TAOUJGALTE,"-6.34405063,31.39520221,0",-6.34405063,31.39520221
270,TARGA NAADA,"-6.503814061,31.26888738,0",-6.503814061,31.26888738
271,AGOUNSANE,"-7.800232094,31.34798036,0",-7.800232094,31.34798036
272,TINZARE,"-6.624488168,31.31027386,0",-6.624488168,31.31027386
273,AGRALIOUNE,"-6.555343101,31.22680537,0",-6.555343101,31.22680537
274,TAKOUCHT,"-7.819242968,31.28802923,0",-7.819242968,31.28802923
275,ANRAR,"-7.7767339,31.35555849,0",-7.7767339,31.35555849
276,TIMICHA,"-7.63908262,31.11996205,0",-7.63908262,31.11996205
277,AZALAGUE,"-7.641372612,31.12128054,0",-7.641372612,31.12128054
278,AIT IAZZA,"-5.777975403,31.78833057,0",-5.777975403,31.78833057
279,TIGHANIMINE,"-6.132570734,31.52703232,0",-6.132570734,31.52703232
280,TOURCHT,"-7.634188719,31.24043522,0",-7.634188719,31.24043522
281,TAROZOTE,"-7.502136185,31.36823721,0",-7.502136185,31.36823721
282,IHIYALEN,"-7.517931412,31.38141983,0",-7.517931412,31.38141983
283,AMSKARE-FOUKANI,"-6.266939777,31.50218915,0",-6.266939777,31.50218915
284,AIT BARKA,"-7.659018163,31.23353635,0",-7.659018163,31.23353635
285,IHOUDIGUENE,"-5.782133016,31.79529304,0",-5.782133016,31.79529304
286,IKIS,"-8.394850979,30.92661821,0",-8.394850979,30.92661821
287,OUDDIF,"-8.304477477,30.9976719,0",-8.304477477,30.9976719
288,ARG,"-8.269316678,30.90817692,0",-8.269316678,30.90817692
289,IGROUKA,"-7.641844734,31.37701613,0",-7.641844734,31.37701613
290,ASGUINE,"-7.761773298,31.3366744,0",-7.761773298,31.3366744
291,ANINS,"-7.692906923,31.31879063,0",-7.692906923,31.31879063
292,IMINTGHLI,"-8.801087341,31.09106256,0",-8.801087341,31.09106256
293,IKISS,"-7.507785488,31.32512731,0",-7.507785488,31.32512731
294,CHAABAT ELMA,"-7.787736965,31.3720564,0",-7.787736965,31.3720564
295,TILIOUINE,"-6.562538396,31.29226808,0",-6.562538396,31.29226808
296,AZADALE,"-6.601113902,31.31452611,0",-6.601113902,31.31452611
297,BOUDJAME,"-5.783355194,31.77381534,0",-5.783355194,31.77381534
298,TAMSSLITE,"-6.460035903,31.43563737,0",-6.460035903,31.43563737
299,INKZDAME,"-8.004535496,31.00475544,0",-8.004535496,31.00475544
300,ATKI,"-8.032025678,30.9931675,0",-8.032025678,30.9931675
301,OURMARE,"-8.252416876,31.08642563,0",-8.252416876,31.08642563
302,TAMZARITE,"-6.547114664,31.41003957,0",-6.547114664,31.41003957
303,LAMKIK,"-6.443690553,31.37387911,0",-6.443690553,31.37387911
304,ASSAKA,"-6.432129548,31.39334157,0",-6.432129548,31.39334157
305,TIZGUI,"-6.476920363,31.40622175,0",-6.476920363,31.40622175
306,ASSAKA,"-6.483024781,31.41801641,0",-6.483024781,31.41801641
307,TADAFALTE,"-8.321145313,30.97903581,0",-8.321145313,30.97903581
308,TAGADIRTE,"-8.310292123,30.98004249,0",-8.310292123,30.98004249
309,TAMZANDIRT,"-7.751230364,31.33215256,0",-7.751230364,31.33215256
310,ANMID,"-7.607920302,30.85848983,0",-7.607920302,30.85848983
311,AZAL,"-8.264922194,30.94655686,0",-8.264922194,30.94655686
312,IMALLAHNE,"-7.672856622,31.3860914,0",-7.672856622,31.3860914
313,AMJGAGE,"-6.209971614,31.45239865,0",-6.209971614,31.45239865
314,TAGDOURT,"-7.620397609,30.84283446,0",-7.620397609,30.84283446
315,TALJORFTE,"-7.728949362,31.30692128,0",-7.728949362,31.30692128
316,AIT IGHMOURE,"-7.538210307,30.70168846,0",-7.538210307,30.70168846
317,AGRD NOUZROU,"-6.558541747,31.28850738,0",-6.558541747,31.28850738
318,AMOUGAR,"-5.846609784,31.62470485,0",-5.846609784,31.62470485
319,AIT QUALLA,"-7.656339369,30.90544675,0",-7.656339369,30.90544675
320,AL MDOUNE,"-6.20235902,31.42763569,0",-6.20235902,31.42763569
321,ZRIJT,"-8.441443251,30.91375831,0",-8.441443251,30.91375831
322,TANAMMARE,"-8.398497315,30.9107806,0",-8.398497315,30.9107806
323,AIT HSSAINE,"-8.151179364,31.20399903,0",-8.151179364,31.20399903
324,TICHKI,"-7.629171133,31.34976701,0",-7.629171133,31.34976701
325,TEZ GUI,"-8.039204879,31.07330568,0",-8.039204879,31.07330568
326,AIT YAAZZA,"-5.887769437,31.68758446,0",-5.887769437,31.68758446
327,TICHKI,"-6.305032532,31.50476453,0",-6.305032532,31.50476453
328,AIT MOUSSA OU DAOUD,"-6.296860707,31.41044965,0",-6.296860707,31.41044965
329,AIT TOUKHSSINE,"-5.792466322,31.77932095,0",-5.792466322,31.77932095
330,,"-5.822449187,31.69079439,0",-5.822449187,31.69079439
331,AMSSKAR,"-6.38208111,31.44339569,0",-6.38208111,31.44339569
332,TITADRI,"-7.330541129,31.37025263,0",-7.330541129,31.37025263
333,IGUINE,"-7.649034385,31.37278854,0",-7.649034385,31.37278854
334,ZAOUIT,"-8.195121207,31.19290153,0",-8.195121207,31.19290153
335,TIMSLAH,"-8.341765942,31.00029908,0",-8.341765942,31.00029908
336,TABOUYDANTE,"-5.876448445,31.68864413,0",-5.876448445,31.68864413
337,KSSAR AIT BOU YAKNIFENE,"-5.880910957,31.68190672,0",-5.880910957,31.68190672
338,CENTRE MSEMRIR,"-5.819558695,31.69511553,0",-5.819558695,31.69511553
339,ZAOUITE,"-7.522361715,31.35499748,0",-7.522361715,31.35499748
340,TIZI TIGARTE,"-8.303259489,30.99599767,0",-8.303259489,30.99599767
341,AIT ALIOU YAKKOU,"-5.763268987,31.83493978,0",-5.763268987,31.83493978
342,TANAGHRAMT,"-7.879417183,30.90181545,0",-7.879417183,30.90181545
343,TIMYALINE,"-7.880210879,30.90518988,0",-7.880210879,30.90518988
344,ANZI,"-8.197385544,30.83917524,0",-8.197385544,30.83917524
345,TIFSSTE,"-7.132420159,31.11779137,0",-7.132420159,31.11779137
346,TAOURIRTE NAIT SALAH,"-8.290143915,30.97411976,0",-8.290143915,30.97411976
347,TASSILA,"-8.266727192,30.97711903,0",-8.266727192,30.97711903
348,AIT MOUSSA OU ICHOU,"-5.747017292,31.83553539,0",-5.747017292,31.83553539
349,ABRACHE,"-6.681216456,31.25899907,0",-6.681216456,31.25899907
350,AIT SAID OU DAOUD,"-5.888790157,31.57765321,0",-5.888790157,31.57765321
